Sigla da Cidade,Nome da Cidade,UF do Estado,Nome curto Empresa,Slug,Nome longo Empresa,Coordenadas,Input_Maximum,Input_Average,Input_Current,Output_Maximum,Output_Average,Output_Current,Extraction_Date
mcz,Maceió,AL,,acesso10,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","4870,00","2280,00","4450,00","3020,00","1240,00","2440,00",2024-08-26
mao,Manaus,AM,,eyesnwhere,,"176,132,271,226,264,233,302,233,208,140,214,132","11700,00","6120,00","6720,00","3690,00","1450,00","1270,00",2024-08-26
mao,Manaus,AM,,rnp,,"391,132,398,140,304,233,341,233,334,226,429,132","5350,00","2370,00","3650,00","3930,00","1680,00","3330,00",2024-08-26
mao,Manaus,AM,,bemol,,"266,278,272,284,178,378,215,378,208,372,303,278","38130,00","19050,00","21010,00","12510,00","6560,00","7290,00",2024-08-26
mao,Manaus,AM,,g8,,"306,278,400,372,394,378,430,378,337,284,343,278","720,00","450,00","720,00","9140,00","4530,00","4880,00",2024-08-26
mgf,Maringa,PR,,vsx,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","7730,00","4150,00","7070,00","4070,00","2020,00","3250,00",2024-08-26
nat,Natal,RN,,rnp_cabotelecom,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","9920,00","4410,00","9730,00","3860,00","2280,00","2310,00",2024-08-26
to,Palmas,TO,,zaptelecom,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","220,00","110,00","190,00","690,00","220,00","250,00",2024-08-26
rs,Porto Alegre,RS,PIX SYGO,sygo,,"72,176 72,91 102,91 102,176","594,20","239,53","370,16","4710,00","2020,00","3440,00",2024-08-26
rs,Porto Alegre,RS,PIX BR.Digital,brdigital,,"172,176 172,91 199,91 199,176","30,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
rs,Porto Alegre,RS,PIX Elea-POA1,elea-poa1,,"271,176 271,91 299,91 299,176","820,00","250,00","170,00","1370,00","580,00","1370,00",2024-08-26
rs,Porto Alegre,RS,PIX NOSSA TELECOM,nossatelecom,,"370,176 370,91 398,91 398,176","43560,00","19720,00","32900,00","58530,00","29470,00","44040,00",2024-08-26
